week,order_id,customer_name,market_segment,priority,quantity,allocated_qty,status
2026-W01,ORD-7A3834,Dell,Pro Viz,5,84,84,Full
2026-W01,ORD-0C11DA,Best Buy,Gaming Retail,9,67,0,Unfulfilled
2026-W02,ORD-859D24,Meta,Data Center,1,64,64,Full
2026-W02,ORD-9BFB54,Meta,Data Center,1,23,23,Full
2026-W02,ORD-EE817D,Microsoft,Data Center,1,13,13,Full
2026-W02,ORD-0E8626,Tesla,Automotive,2,18,18,Full
2026-W02,ORD-2B506E,Siemens,Healthcare,3,80,80,Full
2026-W02,ORD-29E78E,ASUS,Gaming OEM,7,45,45,Full
2026-W02,ORD-8B9281,ASUS,Gaming OEM,7,48,48,Full
2026-W03,ORD-54F6AC,Meta,Data Center,1,71,71,Full
2026-W03,ORD-5CC17C,Foxconn,Industrial,4,35,35,Full
2026-W03,ORD-D431F3,Dell,Pro Viz,5,44,44,Full
2026-W03,ORD-AA4609,ASUS,Gaming OEM,7,50,50,Full
2026-W04,ORD-DF17D5,Meta,Data Center,1,80,80,Full
2026-W04,ORD-F83D96,Meta,Data Center,1,66,66,Full
2026-W04,ORD-756CE4,Microsoft,Data Center,1,32,32,Full
2026-W04,ORD-B17334,Siemens,Healthcare,3,23,23,Full
2026-W04,ORD-A771D8,Dell,Pro Viz,5,71,71,Full
2026-W04,ORD-A940DD,Dell,Pro Viz,5,36,36,Full
2026-W05,ORD-AE3DEE,Microsoft,Data Center,1,71,71,Full
2026-W05,ORD-2F9A19,Tesla,Automotive,2,88,88,Full
2026-W05,ORD-F73269,Tesla,Automotive,2,65,65,Full
2026-W05,ORD-2CE226,Siemens,Healthcare,3,41,41,Full
2026-W05,ORD-79EB3C,Foxconn,Industrial,4,36,36,Full
2026-W05,ORD-FE728A,Foxconn,Industrial,4,10,10,Full
2026-W05,ORD-547C04,Best Buy,Gaming Retail,9,33,0,Unfulfilled
2026-W06,ORD-2E8BAA,Meta,Data Center,1,10,10,Full
2026-W06,ORD-488B7A,Microsoft,Data Center,1,57,57,Full
2026-W06,ORD-702F24,Microsoft,Data Center,1,25,25,Full
2026-W06,ORD-B19876,Tesla,Automotive,2,80,80,Full
2026-W06,ORD-F8CBE7,Siemens,Healthcare,3,68,68,Full
2026-W06,ORD-E14FB1,Dell,Pro Viz,5,16,16,Full
2026-W06,ORD-37447D,ASUS,Gaming OEM,7,28,28,Full
2026-W07,ORD-82A16F,Tesla,Automotive,2,84,84,Full
2026-W07,ORD-151CAF,Siemens,Healthcare,3,44,44,Full
2026-W07,ORD-1BAAD8,Foxconn,Industrial,4,34,34,Full
2026-W07,ORD-A1526C,Foxconn,Industrial,4,37,37,Full
2026-W07,ORD-CEC5F8,Foxconn,Industrial,4,57,57,Full
2026-W07,ORD-791BC5,Dell,Pro Viz,5,47,47,Full
2026-W07,ORD-6F7EC3,ASUS,Gaming OEM,7,57,57,Full
2026-W08,ORD-157426,Microsoft,Data Center,1,69,69,Full
2026-W08,ORD-4FF386,Microsoft,Data Center,1,33,33,Full
2026-W08,ORD-86F42D,Microsoft,Data Center,1,51,51,Full
2026-W08,ORD-0110AB,Foxconn,Industrial,4,15,15,Full
2026-W08,ORD-AFEE19,Dell,Pro Viz,5,27,27,Full
2026-W08,ORD-486B05,Best Buy,Gaming Retail,9,26,0,Unfulfilled
2026-W08,ORD-D44CD9,Best Buy,Gaming Retail,9,44,0,Unfulfilled
2026-W09,ORD-26B01A,Foxconn,Industrial,4,16,16,Full
2026-W09,ORD-C53ACB,Foxconn,Industrial,4,17,17,Full
2026-W09,ORD-1A16E4,Dell,Pro Viz,5,58,58,Full
2026-W09,ORD-40D6B0,Dell,Pro Viz,5,39,39,Full
2026-W09,ORD-DEB1E6,Dell,Pro Viz,5,72,72,Full
2026-W09,ORD-F0B68D,ASUS,Gaming OEM,7,85,85,Full
2026-W10,ORD-186B20,Meta,Data Center,1,48,48,Full
2026-W10,ORD-2DBD21,Foxconn,Industrial,4,57,57,Full
2026-W10,ORD-F4B121,Dell,Pro Viz,5,64,64,Full
2026-W10,ORD-2401A6,ASUS,Gaming OEM,7,78,78,Full
2026-W10,ORD-5524B9,Best Buy,Gaming Retail,9,21,0,Unfulfilled
2026-W10,ORD-BFECFE,Best Buy,Gaming Retail,9,66,0,Unfulfilled
2026-W11,ORD-21AC4B,Meta,Data Center,1,43,43,Full
2026-W11,ORD-D3C006,Microsoft,Data Center,1,41,41,Full
2026-W11,ORD-E889D9,Tesla,Automotive,2,78,78,Full
2026-W11,ORD-A35359,Foxconn,Industrial,4,83,83,Full
2026-W11,ORD-8B2DA1,Dell,Pro Viz,5,42,42,Full
2026-W11,ORD-8F3A9C,Best Buy,Gaming Retail,9,11,0,Unfulfilled
2026-W12,ORD-50D6F0,Meta,Data Center,1,45,45,Full
2026-W12,ORD-ED57C1,Microsoft,Data Center,1,26,26,Full
2026-W12,ORD-C3C535,Siemens,Healthcare,3,28,28,Full
2026-W12,ORD-E59136,Siemens,Healthcare,3,45,45,Full
2026-W12,ORD-B96312,Foxconn,Industrial,4,16,16,Full
2026-W12,ORD-0B27DB,ASUS,Gaming OEM,7,46,46,Full
2026-W13,ORD-BEABD4,Meta,Data Center,1,27,27,Full
2026-W13,ORD-7F02CB,Siemens,Healthcare,3,16,16,Full
2026-W13,ORD-FD85BB,Dell,Pro Viz,5,32,32,Full
2026-W13,ORD-483432,ASUS,Gaming OEM,7,48,48,Full
2026-W13,ORD-3C8C3D,Best Buy,Gaming Retail,9,75,0,Unfulfilled
2026-W13,ORD-709404,Best Buy,Gaming Retail,9,25,0,Unfulfilled
2026-W13,ORD-F91354,Best Buy,Gaming Retail,9,74,0,Unfulfilled
2026-W14,ORD-3C3974,Microsoft,Data Center,1,83,83,Full
2026-W14,ORD-13FB94,Dell,Pro Viz,5,45,45,Full
2026-W14,ORD-231A7A,ASUS,Gaming OEM,7,12,12,Full
2026-W14,ORD-538C72,ASUS,Gaming OEM,7,67,67,Full
2026-W14,ORD-779B44,Best Buy,Gaming Retail,9,84,0,Unfulfilled
2026-W15,ORD-F28F26,Microsoft,Data Center,1,14,14,Full
2026-W15,ORD-33AB01,Tesla,Automotive,2,73,73,Full
2026-W15,ORD-4713EA,Siemens,Healthcare,3,78,78,Full
2026-W15,ORD-FE3EBE,Foxconn,Industrial,4,45,45,Full
2026-W15,ORD-911525,Dell,Pro Viz,5,38,38,Full
2026-W15,ORD-B90621,ASUS,Gaming OEM,7,12,12,Full
2026-W16,ORD-4FBB77,Microsoft,Data Center,1,26,26,Full
2026-W16,ORD-619132,Microsoft,Data Center,1,48,48,Full
2026-W16,ORD-8356D0,Microsoft,Data Center,1,58,58,Full
2026-W16,ORD-44CE6A,Tesla,Automotive,2,14,14,Full
2026-W16,ORD-6BAF9D,Dell,Pro Viz,5,58,58,Full
2026-W16,ORD-8C0C4E,Best Buy,Gaming Retail,9,71,0,Unfulfilled
2026-W16,ORD-97A9EC,Best Buy,Gaming Retail,9,30,0,Unfulfilled
2026-W17,ORD-4BEE14,Meta,Data Center,1,88,88,Full
2026-W17,ORD-4F6BB4,Microsoft,Data Center,1,26,26,Full
2026-W17,ORD-817528,Siemens,Healthcare,3,75,75,Full
2026-W17,ORD-41F8D7,Foxconn,Industrial,4,21,21,Full
2026-W17,ORD-937264,Foxconn,Industrial,4,39,39,Full
2026-W17,ORD-36148A,Dell,Pro Viz,5,84,84,Full
2026-W17,ORD-F74EF1,Best Buy,Gaming Retail,9,26,0,Unfulfilled
2026-W18,ORD-308DE3,Microsoft,Data Center,1,64,64,Full
2026-W18,ORD-CCB8F0,Tesla,Automotive,2,70,70,Full
2026-W18,ORD-533EF9,Foxconn,Industrial,4,72,72,Full
2026-W18,ORD-5F5C99,Foxconn,Industrial,4,55,55,Full
2026-W18,ORD-E00F26,Foxconn,Industrial,4,59,59,Full
2026-W18,ORD-7C71AB,Dell,Pro Viz,5,13,13,Full
2026-W19,ORD-4B8AF6,Meta,Data Center,1,37,37,Full
2026-W19,ORD-CB72BF,Tesla,Automotive,2,37,37,Full
